Step,Reward,Average Reward,Cumulative Reward,Expected Utility,Expected Info Gain,Num Components
0,0,0.0,0,0.0,0.0,0.0
1,0,0.0,0,0.0,0.0,0.0
2,0,0.0,0,0.0,0.0,0.0
3,0,0.0,0,0.0,0.0,0.0
4,0,0.0,0,0.0,0.0,0.0
5,0,0.0,0,0.0,0.0,0.0
6,0,0.0,0,0.0,-0.37562376,1.0
7,0,0.0,0,0.0,0.99800795,2.0
8,0,0.0,0,0.0,-0.8126863,3.0
9,0,0.0,0,0.0,0.9980159,4.0
10,0,0.0,0,0.0,1.9960474,6.0
11,0,0.0,0,0.0,1.996063,8.0
12,0,0.0,0,0.0,1.2269274,10.0
13,0,0.0,0,0.0,1.7453704,13.0
14,0,0.0,0,0.0,2.6734662,16.0
15,0,0.0,0,0.0,2.4959338,17.0
16,0,0.0,0,0.0,1.8299513,18.0
17,0,0.0,0,0.0,1.6205952,19.0
18,0,0.0,0,0.0,1.9243019,22.0
19,0,0.0,0,0.0,1.9001126,23.0
20,0,0.0,0,0.0,1.5370586,25.0
21,0,0.0,0,0.0,1.49581,27.0
22,0,0.0,0,0.0,1.5525937,30.0
23,0,0.0,0,0.0,1.4545954,32.0
24,0,0.0,0,0.0,1.308551,33.0
25,0,0.0,0,0.0,1.2461293,36.0
26,0,0.0,0,0.0,1.2461503,39.0
27,0,0.0,0,0.0,1.1808866,42.0
28,0,0.0,0,0.0,1.1184628,45.0
29,-1,0.0,0,0.0,0.99359405,47.0
30,0,-0.033333335,-1,0.0,1.933123,49.0
31,0,-0.032258064,-1,0.0,2.994709,52.0
32,0,-0.03125,-1,0.0,2.989055,55.0
33,0,-0.030303031,-1,0.0,2.9890826,57.0
34,0,-0.029411765,-1,0.0,2.991951,59.0
35,0,-0.028571429,-1,0.0,2.9160037,61.0
36,0,-0.027777778,-1,-1.02390946e-35,2.867112,64.0
37,0,-0.027027028,-1,0.0,2.8046913,66.0
38,0,-0.02631579,-1,-2.074774e-17,2.7451105,68.0
39,0,-0.025641026,-1,0.0,1.8084285,71.0
40,0,-0.025,-1,0.0,1.6807135,74.0
41,0,-0.024390243,-1,-2.1375375e-36,1.6663411,76.0
42,0,-0.023809524,-1,0.0,1.0839956,78.0
43,0,-0.023255814,-1,0.0,0.7517792,80.0
44,0,-0.022727273,-1,0.0,1.4059192,81.0
45,0,-0.022222223,-1,0.0,1.2367605,84.0
