Step,Reward,Average Reward,Cumulative Reward,Expected Utility,Expected Info Gain,Num Components
0,0,0.0,0,0.0,0.0,0.0
1,0,0.0,0,0.0,0.0,0.0
2,0,0.0,0,0.0,0.0,0.0
3,0,0.0,0,0.0,0.0,0.0
4,0,0.0,0,0.0,0.0,0.0
5,0,0.0,0,0.0,-0.87512475,1.0
6,0,0.0,0,0.0,-0.43806025,2.0
7,0,0.0,0,0.0,-0.500497,3.0
8,0,0.0,0,0.0,0.9980159,4.0
9,0,0.0,0,0.0,0.9980199,5.0
10,0,0.0,0,0.0,0.9980237,6.0
11,0,0.0,0,0.0,0.9980277,7.0
12,0,0.0,0,0.0,0.9980315,8.0
13,0,0.0,0,0.0,1.9960785,10.0
14,0,0.0,0,0.0,1.9960938,12.0
15,0,0.0,0,0.0,1.996109,14.0
16,0,0.0,0,0.0,1.9932832,16.0
17,0,0.0,0,0.0,1.4341819,17.0
18,0,0.0,0,0.0,1.3717549,19.0
19,0,0.0,0,0.0,1.3093271,21.0
20,0,0.0,0,0.0,1.2468988,23.0
21,0,0.0,0,0.0,1.1816292,25.0
22,0,0.0,0,0.0,1.1191999,26.0
23,0,0.0,0,0.0,1.0596108,27.0
24,0,0.0,0,0.0,0.99718046,29.0
25,0,0.0,0,0.0,0.9319086,31.0
26,0,0.0,0,0.0,0.86947715,32.0
27,0,0.0,0,0.0,0.8098862,33.0
28,0,0.0,0,0.0,0.7474537,35.0
29,0,0.0,0,0.0,0.68217987,37.0
30,0,0.0,0,0.0,0.61974645,38.0
31,0,0.0,0,0.0,0.55731255,39.0
32,0,0.0,0,0.0,0.49771902,40.0
33,0,0.0,0,0.0,1.9764773,42.0
34,0,0.0,0,0.0,1.9736495,44.0
35,0,0.0,0,0.0,1.9793444,45.0
36,0,0.0,0,0.0,1.9765166,46.0
37,0,0.0,0,0.0,1.9765295,47.0
38,0,0.0,0,0.0,1.9793832,48.0
39,0,0.0,0,0.0,1.9765549,50.0
40,0,0.0,0,0.0,1.9737267,51.0
41,0,0.0,0,0.0,1.97658,53.0
42,0,0.0,0,0.0,1.9765925,55.0
43,0,0.0,0,0.0,1.9794457,56.0
44,0,0.0,0,0.0,1.9737763,57.0
45,0,0.0,0,0.0,1.9766293,57.0
46,0,0.0,0,0.0,1.9880052,57.0
47,0,0.0,0,0.0,1.9638017,58.0
